lat,lon,froce_cyclone,ventricité
-55.1875,97.8125,1.5192500807273817e-07,-1.5709994068925718e-05
39.5625,159.8125,3.38688463149949e-07,1.4327317729631684e-05
39.8125,-130.4375,2.314171638510903e-07,9.999975004275018e-06
-50.1875,20.6875,5.932075984391303e-07,-1.4689501993510121e-05
-49.5625,92.9375,5.215703505179526e-07,-3.4131469776740704e-05
25.6875,-60.5625,1.089534901741858e-07,8.829018781162609e-06
50.4375,-23.4375,6.49544071360024e-07,1.8201673095195267e-05
-53.8125,-49.0625,2.7048281672985517e-07,-2.060527324602333e-05
-49.9375,-30.8125,8.980711932820594e-07,-2.813721939313173e-05
-28.4375,156.9375,8.085242159622645e-07,-3.2412010389673646e-05
39.1875,153.6875,2.978093376938431e-07,1.585100508755049e-05
-50.9375,-140.9375,4.487631388743453e-07,-1.9564329680951888e-05
-60.4375,-98.8125,3.7136689980386486e-07,-1.4709718542554112e-05
31.6875,175.6875,4.583898227788314e-07,1.552642201959374e-05
41.1875,146.5625,5.836744309001729e-08,1.476325862415e-05
-64.9375,-110.3125,2.153055571731354e-07,-8.33187340211308e-06
-38.0625,105.1875,5.768174626105094e-07,-2.595159391128885e-05
-41.9375,29.3125,5.97804190193296e-07,-2.432114823336513e-05
-53.6875,176.8125,1.4123921939248958e-06,-2.6477134650399707e-05
27.9375,160.8125,3.017149147000461e-07,1.071319090230472e-05
-17.3125,86.3125,3.0990601446661826e-08,-5.331650928693225e-06
40.4375,144.5625,4.868238397851982e-08,9.95504447450724e-06
-59.6875,-75.5625,3.2847305302389897e-07,-9.541499292890048e-06
-55.5625,96.1875,4.295702704788959e-07,-1.756413614477473e-05
-46.8125,91.5625,7.78313988985582e-07,-1.6361631651199568e-05
-58.6875,-83.9375,7.956417101036034e-07,-2.1377071843507484e-05
-45.1875,-57.5625,4.399640776018016e-07,-1.4709848012873953e-05
-49.1875,-178.0625,8.525263563759549e-07,-2.7201016035089573e-05
-53.1875,99.9375,3.150729380499167e-07,-9.09008647642673e-06
-55.0625,121.8125,4.463990832109386e-07,-1.2948130410907413e-05
51.6875,171.9375,1.4297459586326684e-07,8.187666275044388e-06
-61.0625,129.1875,8.665438421545253e-07,-1.3235509794521004e-05
44.0625,-26.1875,1.9621730945027882e-07,1.1684994900856888e-05
30.0625,-74.6875,3.9893076395855246e-07,1.9735943665128566e-05
-59.3125,167.0625,1.6616092671224417e-07,-1.7136611155058947e-05
26.5625,-73.8125,3.2522767998850085e-07,2.446992719602419e-05
-60.9375,169.4375,3.93277452499952e-07,-1.9964410884996363e-05
26.8125,-86.4375,6.72108822202917e-07,4.244127545278923e-05
-60.3125,-22.9375,5.374376232606522e-07,-3.2963558750022104e-05
51.4375,-19.6875,2.7146836283254166e-07,1.637498086366159e-05
-63.5625,135.8125,8.645652718760887e-07,-3.2180985320759215e-05
-51.1875,36.1875,3.200763986484323e-07,-1.75608433348343e-05
-48.4375,-168.9375,6.278645410253129e-07,-2.1199798251406407e-05
-49.3125,143.5625,3.541739049362187e-07,-1.354221912766615e-05
