lat,lon,froce_cyclone,ventricité
-54.0625,-46.0625,3.7002081389185794e-07,1.9693830417706464e-05
-47.8125,-28.4375,4.5501792457276367e-07,1.4809776654171386e-05
-31.0625,-158.6875,2.0617777784138204e-07,8.457844414423503e-06
-29.6875,-168.9375,1.7674861364756057e-07,7.730264778589452e-06
-50.8125,-149.0625,6.184600733112018e-07,1.4524498922931647e-05
-50.3125,-138.0625,2.557508638099478e-07,8.558485444921569e-06
16.5625,144.6875,7.349437018890922e-08,-4.332407097216158e-06
27.5625,176.1875,2.0346553491519724e-07,-1.388526847694577e-05
39.3125,-174.3125,5.805579643821312e-07,-1.834928649458486e-05
9.5625,157.1875,8.066955503161618e-09,-3.221848113532219e-06
50.8125,160.5625,8.661460159652917e-07,-3.576236917035856e-05
-30.9375,-154.5625,7.49496849973341e-08,4.5724183613260235e-06
-32.8125,-133.1875,1.5823072174113334e-07,6.487261248836643e-06
14.4375,142.3125,8.831038330536016e-08,-9.14544640961395e-06
8.0625,-47.4375,8.430897704775888e-08,-1.1231390693477702e-05
-29.3125,98.0625,3.116003226735433e-07,1.1121025083314905e-05
-44.9375,14.8125,5.038864568405878e-07,1.7474949381125102e-05
-23.9375,90.6875,1.0397236880787656e-07,9.158866618203868e-06
18.9375,-167.5625,1.3938270371708007e-07,-1.616284467339906e-05
-39.9375,109.3125,2.3347944275527822e-07,1.9635810238985765e-05
-34.3125,-128.9375,1.2256191882482396e-07,6.1932679888057934e-06
-58.3125,-49.5625,9.871784360519394e-07,2.4655303550303e-05
-56.9375,-97.1875,4.73239118711893e-07,1.2352457816076817e-05
-37.9375,160.8125,3.3632149467248434e-07,9.577436035040634e-06
-24.9375,-152.4375,2.0000178619171385e-07,1.162703916027582e-05
75.9375,-120.9375,1.6462686341615735e-08,-9.501390433163541e-06
-31.4375,57.5625,2.2760745854045305e-07,9.702487844733104e-06
29.6875,-78.0625,2.0136241639505175e-07,-2.7197073759854436e-05
-44.4375,-8.1875,1.1366178052043597e-07,5.536466427552503e-06
-42.1875,140.9375,1.7453939279320272e-07,1.365232915559698e-05
-39.5625,-24.9375,2.0916773866919455e-07,6.184481696365316e-06
-32.5625,128.0625,1.3363088408135007e-07,6.957494547953948e-06
